solution 1766 [ fit.: 0.684688, part.: (0.663720, 0.693682, 0.696662, ), spec.: 0, adj.fit.: 0.006847, age: 0, parents (1602, 1648), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1767 [ fit.: 0.678943, part.: (0.663167, 0.685261, 0.688401, ), spec.: 0, adj.fit.: 0.006789, age: 0, parents (1695, 1616), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1768 [ fit.: 0.684125, part.: (0.664352, 0.692429, 0.695596, ), spec.: 0, adj.fit.: 0.006841, age: 0, parents (1643, 1605), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1769 [ fit.: 0.684219, part.: (0.664707, 0.692541, 0.695408, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1640, 1657), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1770 [ fit.: 0.684704, part.: (0.665014, 0.692836, 0.696263, ), spec.: 0, adj.fit.: 0.006847, age: 0, parents (1625, 1675), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1771 [ fit.: 0.683560, part.: (0.664251, 0.691227, 0.695202, ), spec.: 0, adj.fit.: 0.006836, age: 0, parents (1637, 1677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1772 [ fit.: 0.683983, part.: (0.664225, 0.691996, 0.695728, ), spec.: 0, adj.fit.: 0.006840, age: 0, parents (1635, 1650), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1773 [ fit.: 0.684635, part.: (0.664510, 0.693413, 0.695984, ), spec.: 0, adj.fit.: 0.006846, age: 0, parents (1679, 1618), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1774 [ fit.: 0.684159, part.: (0.664129, 0.693569, 0.694780, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1695, 1659), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1775 [ fit.: 0.680225, part.: (0.664204, 0.686205, 0.690268, ), spec.: 0, adj.fit.: 0.006802, age: 0, parents (1687, 1677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1776 [ fit.: 0.684050, part.: (0.664414, 0.692603, 0.695133, ), spec.: 0, adj.fit.: 0.006841, age: 0, parents (1691, 1611), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1777 [ fit.: 0.684427, part.: (0.665394, 0.692262, 0.695624, ), spec.: 0, adj.fit.: 0.006844, age: 0, parents (1633, 1642), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1778 [ fit.: 0.683816, part.: (0.664816, 0.692422, 0.694212, ), spec.: 0, adj.fit.: 0.006838, age: 0, parents (1677, 1628), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
